Title,Active Learning,Critical Thinking,Deductive Reasoning,Oral Expression,AI Enhancement Score,Cluster,PCA1,PCA2
Biofuels Production Managers,3.435,3.88,3.815,4.0600000000000005,3.7604999999999995,0,0.9951956025988935,-0.0414739688010488
Biofuels/Biodiesel Technology and Product Development Managers,3.5,3.87,4.1899999999999995,4.0,3.8425000000000002,0,1.321370097078794,-0.4469878154580712
Bioinformatics Scientists,3.935,4.25,4.375,4.375,4.199249999999999,2,2.5104240345780893,-0.28154141373156416
Bioinformatics Technicians,3.69,3.625,3.75,3.94,3.71675,0,0.7923419517850873,-0.05170869393241952
"Biological Science Teachers, Postsecondary",4.25,4.0,4.0600000000000005,5.0600000000000005,4.246,2,2.8294901423500267,1.102744883089267
Biological Technicians,3.69,3.94,3.81,3.875,3.8292499999999996,0,1.087506962867453,-0.36268800752016916
Biologists,4.3149999999999995,4.4399999999999995,4.38,4.5600000000000005,4.408499999999999,2,3.151581188604823,-0.14168028398183044
Biomass Plant Technicians,3.0,3.12,3.185,3.0,3.0789999999999997,3,-1.5428836955560408,-0.6463130478335936
Biomass Power Plant Managers,3.25,4.0,4.125,4.0600000000000005,3.809,0,1.2417162504035457,-0.3509671535784103
Biostatisticians,4.4399999999999995,4.4399999999999995,4.5,4.62,4.478999999999999,2,3.4089328146034075,-0.16433735091070653
Boilermakers,3.0,3.25,3.5,3.0,3.1875,3,-1.1375149119542218,-0.980120782192116
"Bookkeeping, Accounting, and Auditing Clerks",2.935,3.25,3.06,3.625,3.17375,3,-1.0440027529124172,0.32127881676765224
Brickmasons and Blockmasons,2.5,3.06,2.875,3.0,2.846,1,-2.269352172882404,-0.31298945365761893
Bridge and Lock Tenders,2.25,3.0,2.88,3.0,2.7509999999999994,1,-2.51735375727541,-0.2658376634560529
Broadcast Announcers and Radio Disc Jockeys,3.12,3.875,3.435,4.5600000000000005,3.6632500000000006,0,0.8341400293917625,1.0470553819512722
Broadcast Technicians,3.12,3.565,3.435,3.625,3.4145000000000003,3,-0.2652106981355059,-0.1744932768696886
Brokerage Clerks,3.0,3.5,3.5,3.94,3.4160000000000004,0,-0.09049984249994143,0.2800907105463408
Brownfield Redevelopment Specialists and Site Managers,3.565,4.125,4.3100000000000005,4.1899999999999995,4.00375,2,1.8846365563212633,-0.405400303438696
Budget Analysts,3.185,3.88,3.815,3.94,3.6674999999999995,0,0.6958283524252811,-0.1988748069180986
"Bus Drivers, School",2.375,3.065,2.94,3.12,2.84125,1,-2.200701561311678,-0.18293353352476094
"Bus Drivers, Transit and Intercity",2.31,2.935,2.625,3.125,2.714,1,-2.6526746239691454,0.16349860407131261
Bus and Truck Mechanics and Diesel Engine Specialists,2.815,3.315,3.5,3.12,3.17275,3,-1.1175363207159046,-0.8216034892278445
Business Continuity Planners,4.1899999999999995,4.37,4.4399999999999995,4.25,4.311999999999999,2,2.7739555190864116,-0.6043926474496247
Business Intelligence Analysts,4.0,4.0649999999999995,4.125,4.375,4.104,2,2.162364819165954,0.02079722843648809
"Business Teachers, Postsecondary",4.13,4.13,4.0649999999999995,4.9350000000000005,4.23775,2,2.7548716006855045,0.8555238946633167
Butchers and Meat Cutters,2.31,3.0,2.815,3.12,2.774,1,-2.425143851072699,-0.0382524672868082
"Buyers and Purchasing Agents, Farm Products",3.12,3.815,3.5,4.0,3.57125,0,0.35267615770411453,0.19504356615383708
Cabinetmakers and Bench Carpenters,2.75,3.0,3.0,3.06,2.9339999999999997,1,-1.9662445454669164,-0.31865733527115336
"Camera Operators, Television, Video, and Film",2.94,3.31,3.31,3.685,3.2552499999999998,3,-0.7073638594941871,0.1672032247224609
Camera and Photographic Equipment Repairers,3.06,3.44,3.185,3.125,3.22775,3,-1.085909996733521,-0.6329888876603372
"Captains, Mates, and Pilots of Water Vessels",3.25,3.315,3.625,3.88,3.44225,0,-0.008940575880050075,0.1620523699059637
Cardiovascular Technologists and Technicians,3.25,3.75,3.75,4.0,3.6375,0,0.617450315413554,0.007297934140327542
"Career/Technical Education Teachers, Middle School",3.5,3.88,3.88,4.1850000000000005,3.81175,0,1.2122763134182326,0.08330133454063504
"Career/Technical Education Teachers, Postsecondary",3.94,3.75,3.685,4.4399999999999995,3.8975,2,1.4792499248000384,0.6575679310994665
"Career/Technical Education Teachers, Secondary School",3.94,4.0,4.0649999999999995,4.3149999999999995,4.042249999999999,2,1.948395034559442,0.02141953434551608
Cargo and Freight Agents,2.75,3.435,3.0,4.0,3.22725,3,-0.7445606142929881,0.8451487595927226
Carpenters,2.94,3.5,3.5,3.5,3.332,3,-0.517106874886325,-0.3659504910451482
Carpet Installers,2.37,2.94,2.875,3.12,2.783,1,-2.3809579974449475,-0.06249061153541324
Cartographers and Photogrammetrists,3.315,3.625,3.69,3.75,3.5637499999999998,0,0.2808296710993078,-0.2519236448955039
Cashiers,2.0,2.75,2.62,3.25,2.574,1,-2.966826694544567,0.47396711033311884
Cement Masons and Concrete Finishers,1.935,2.69,2.935,3.0,2.559,1,-3.007450658486074,-0.1254124095402453
Chefs and Head Cooks,3.565,3.815,4.0,4.0600000000000005,3.8137499999999998,0,1.2016495931477862,-0.17431762923804997
Chemical Engineers,4.3149999999999995,4.5600000000000005,4.5,4.1899999999999995,4.419,2,3.05333392676156,-0.8528911619278224
Chemical Equipment Operators and Tenders,2.94,3.25,3.185,3.815,3.22875,3,-0.7640111230652016,0.49635223297530356
Chemical Plant and System Operators,3.125,3.625,3.685,3.75,3.50575,0,0.12750632758429642,-0.23241802983700843
Chemical Technicians,3.315,4.0600000000000005,3.81,3.87,3.758,0,0.902734395688255,-0.40245485207833204
"Chemistry Teachers, Postsecondary",4.0,4.0,4.25,4.8100000000000005,4.1715,2,2.588440962350252,0.5925596806697583
Chemists,3.935,4.125,4.4399999999999995,4.5,4.18725,2,2.55856726269512,-0.0863991431952448
Chief Executives,4.125,4.5649999999999995,4.4350000000000005,4.6899999999999995,4.42575,2,3.28226761131077,-0.04569051610898303
Chief Sustainability Officers,3.815,4.12,4.3149999999999995,4.375,4.1057500000000005,2,2.239847325454628,-0.15346630353267446
"Child, Family, and School Social Workers",3.565,4.1850000000000005,3.88,4.37,3.96575,2,1.7107688697289567,0.19279460121772954
Childcare Workers,3.0,3.06,3.06,3.625,3.1267500000000004,3,-1.1724744131381575,0.415061581089195
Chiropractors,3.63,4.0,4.1899999999999995,4.125,3.94575,2,1.653788903486372,-0.3402830590284219
Choreographers,3.25,3.38,3.62,4.0600000000000005,3.491,0,0.20323668747000193,0.3986672937297726
Civil Engineering Technologists and Technicians,2.94,3.75,3.94,3.875,3.5637499999999998,0,0.43724248380260244,-0.31315579173224783
Civil Engineers,3.935,4.25,4.4399999999999995,4.5,4.231,2,2.6765867638570437,-0.15153792554293447
"Claims Adjusters, Examiners, and Investigators",3.375,4.125,4.1899999999999995,4.3100000000000005,3.94075,2,1.731660238232803,-0.1112511896010741
Cleaners of Vehicles and Equipment,1.75,2.125,2.69,2.565,2.1915,1,-4.280933497437802,-0.25263769434322136
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2.12,2.5,2.565,2.565,2.40875,1,-3.749188343569355,-0.3722337636371573
Clergy,3.815,3.815,4.0,4.625,3.9735,2,1.884936364462932,0.641346645642889
Climate Change Policy Analysts,3.815,4.0,4.0,4.125,3.96325,2,1.6282349777089455,-0.19468059129224305
Clinical Data Managers,3.81,4.125,4.1850000000000005,4.0600000000000005,4.03275,2,1.8522477468308243,-0.5118275022165629
Clinical Neuropsychologists,4.0649999999999995,4.3149999999999995,4.4399999999999995,4.625,4.311499999999999,2,2.9476354296604206,-0.010961002292486024
Clinical Nurse Specialists,4.125,4.125,4.125,4.25,4.14375,2,2.209090812875239,-0.2054290484842826
Clinical Research Coordinators,3.69,3.875,4.0,4.125,3.882,0,1.4122962812770516,-0.11948760731581182
Clinical and Counseling Psychologists,3.88,4.3149999999999995,4.0,4.8100000000000005,4.195749999999999,2,2.5675393425862576,0.6492234118575895
Coaches and Scouts,3.94,4.0,3.935,4.6850000000000005,4.07175,2,2.1509686841088396,0.6785436384033416
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2.375,2.815,2.875,2.88,2.70475,1,-2.7021184500634177,-0.35277248000193806
"Coil Winders, Tapers, and Finishers",2.065,2.88,2.81,2.94,2.6304999999999996,1,-2.8901436510724525,-0.2180536345196827
"Coin, Vending, and Amusement Machine Servicers and Repairers",2.37,2.88,3.06,3.06,2.79,1,-2.3233836197471827,-0.2762380742596968
Commercial Divers,3.06,3.815,3.56,3.94,3.5562499999999995,0,0.30774451461358204,0.06043621925466673
Commercial Pilots,3.81,4.0,4.0,4.0600000000000005,3.952,2,1.5682400775965748,-0.2904292623049644
Commercial and Industrial Designers,3.5,3.875,4.1850000000000005,3.875,3.8245,0,1.2137621483022059,-0.6302755979343091
"Communications Teachers, Postsecondary",4.125,4.0,3.875,4.5600000000000005,4.0965,2,2.1342125305340973,0.5294367032213664
Community Health Workers,3.62,3.75,3.685,4.0,3.7355000000000005,0,0.8489709662521181,0.032439468895760666
Compensation and Benefits Managers,3.875,3.94,3.5,4.0600000000000005,3.8505000000000003,0,1.1138920281134925,0.1579320266558149
"Compensation, Benefits, and Job Analysis Specialists",3.565,3.815,3.75,4.0,3.75475,0,0.9255768280980783,-0.05191082078489994
Compliance Managers,3.815,4.125,4.1899999999999995,4.1850000000000005,4.053999999999999,2,1.9684932434646882,-0.3315474390993823
Compliance Officers,3.06,3.56,3.69,4.0600000000000005,3.5109999999999997,0,0.2871539261980226,0.26102463346547006
Computer Hardware Engineers,3.935,4.0600000000000005,4.125,4.0600000000000005,4.0355,2,1.8349628010407042,-0.4373307940308057
Computer Network Architects,3.565,4.12,4.0600000000000005,3.935,3.9137500000000003,0,1.435608614320362,-0.5688404609252519
Computer Network Support Specialists,3.315,3.75,3.94,3.875,3.6762499999999996,0,0.7310000696125118,-0.3433183966184727
Computer Numerically Controlled Tool Operators,2.88,3.62,3.06,3.31,3.2395,3,-1.009512731930298,-0.3330698888730101
Computer Numerically Controlled Tool Programmers,3.13,3.25,3.25,3.375,3.23275,3,-0.9364595977510991,-0.22469934345017695
Computer Programmers,3.185,3.815,3.815,3.625,3.5975,0,0.3626949552826911,-0.6309643987054472
"Computer Science Teachers, Postsecondary",4.0,4.1899999999999995,3.88,4.6850000000000005,4.14525,2,2.3280117058533176,0.6211621868639494
Computer Systems Analysts,3.81,3.875,4.12,4.1899999999999995,3.9517499999999997,2,1.6700448419495733,-0.134346287788933
Computer Systems Engineers/Architects,3.87,4.0,4.0600000000000005,4.0,3.9730000000000003,2,1.6173108619652135,-0.4346886427677277
Computer User Support Specialists,3.185,3.815,3.56,4.0,3.6027500000000003,0,0.45742813970038804,0.13913663831319134
Computer and Information Research Scientists,4.1899999999999995,4.125,4.5,4.375,4.257,2,2.704313859383339,-0.34249391727671585
Computer and Information Systems Managers,3.63,4.0600000000000005,4.0,4.1899999999999995,3.9384999999999994,2,1.5960420615686863,-0.11491614933072586
"Computer, Automated Teller, and Office Machine Repairers",3.0,3.31,3.12,3.685,3.2352499999999997,3,-0.8308369805415838,0.3228598940873817
Concierges,2.815,3.25,3.25,4.0600000000000005,3.2409999999999997,3,-0.5922387294225436,0.8139191641672078
Conservation Scientists,3.315,3.625,3.815,3.88,3.6082499999999995,0,0.5051401033188884,-0.1652026813099692
Construction Laborers,2.12,2.685,2.81,3.185,2.6155,1,-2.8197982052141866,0.24155371836573689
Construction Managers,3.94,4.1899999999999995,4.1899999999999995,4.25,4.124,2,2.18386071164043,-0.27932296847105137
Construction and Building Inspectors,3.12,3.88,3.94,4.0,3.682,0,0.8088289683181688,-0.2104727159540952
Continuous Mining Machine Operators,2.625,3.185,3.06,3.06,2.97325,1,-1.8356608785613493,-0.4556872745106926
"Control and Valve Installers and Repairers, Except Mechanical Door",2.94,3.25,3.315,3.375,3.18875,3,-1.0269766074009068,-0.26431892855099803
Conveyor Operators and Tenders,2.685,2.94,3.25,3.44,3.0004999999999997,3,-1.521662163492191,0.06878863364828526
"Cooks, Fast Food",2.315,2.5,2.815,2.815,2.5547500000000003,1,-3.1564409394785136,-0.2292688277881356
"Cooks, Institution and Cafeteria",2.88,2.94,3.06,3.315,3.00225,3,-1.647225115766429,0.02868130548902728
"Cooks, Private Household",2.94,3.185,3.12,3.06,3.07975,3,-1.5350705060251364,-0.5317026056088215
"Cooks, Restaurant",2.75,3.06,2.815,3.06,2.918,1,-2.0755833529815177,-0.19366449323413595
"Cooks, Short Order",2.38,2.88,2.565,2.815,2.65725,1,-2.9710520096387514,-0.2213574818316408
Cooling and Freezing Equipment Operators and Tenders,3.06,3.435,3.25,3.06,3.22925,3,-1.0883887419210239,-0.7814361470208097
Coroners,3.63,4.0600000000000005,4.0600000000000005,4.3100000000000005,3.9685,2,1.753404921658249,0.011914349050107432
Correctional Officers and Jailers,3.185,3.685,3.625,3.94,3.5612500000000002,0,0.34124359583569736,0.06322437969101397
Correspondence Clerks,2.75,3.565,3.125,3.75,3.26025,3,-0.7253512897049685,0.3020127918506414
Cost Estimators,3.565,3.935,3.935,4.0600000000000005,3.8427499999999997,0,1.256628147102687,-0.1819488887153238
Costume Attendants,2.375,2.88,2.94,3.37,2.814,1,-2.159685298794509,0.28328278388009553
Counter and Rental Clerks,2.5,3.0,2.88,3.815,2.94825,3,-1.6183818617234467,0.9196375309551622
Couriers and Messengers,2.435,2.81,2.94,3.31,2.7985,1,-2.230539435532437,0.22617986452573943
Court Reporters and Simultaneous Captioners,2.38,2.625,2.88,3.94,2.7997499999999995,1,-1.9586002305499817,1.309611371326961
"Court, Municipal, and License Clerks",2.62,3.315,3.25,3.75,3.15875,3,-0.9510720874931496,0.3371660116697036
Craft Artists,2.685,3.12,3.0,3.0,2.9475,1,-1.9556282357086896,-0.4647170021652561
Crane and Tower Operators,2.63,3.125,3.0,3.185,2.9605,1,-1.834384909645755,-0.18923862429011332
Credit Analysts,3.62,3.94,4.125,4.0600000000000005,3.899,0,1.4749077078449329,-0.34946097487259437
"Credit Authorizers, Checkers, and Clerks",2.62,3.315,3.185,3.56,3.1172500000000003,3,-1.1733129490736771,0.11101168440320255
Credit Counselors,3.56,3.815,3.75,4.0600000000000005,3.76225,0,0.9734244901041162,0.03724596796751657
"Criminal Justice and Law Enforcement Teachers, Postsecondary",4.0,4.12,3.815,4.5600000000000005,4.0889999999999995,2,2.0957580559236857,0.5276364167900259
Critical Care Nurses,3.94,4.0600000000000005,4.0600000000000005,4.0600000000000005,4.024,2,1.780559401690957,-0.3828309905194474
Crossing Guards and Flaggers,1.935,2.625,2.81,3.56,2.59525,1,-2.69784028841624,0.842416931598579
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2.685,2.94,3.0,3.0,2.8845,1,-2.1255763173818605,-0.37091715558458277
Curators,3.81,4.0649999999999995,4.13,4.25,4.029249999999999,2,1.9101712469418486,-0.1530490734357706
Customer Service Representatives,2.88,3.375,3.185,4.0,3.28225,3,-0.5333858436976183,0.7096995478618139
Customs Brokers,3.435,3.815,3.565,3.815,3.651,0,0.49814570500974015,-0.15885507397950416
Customs and Border Protection Officers,3.25,3.94,3.94,4.0,3.7420000000000004,0,0.9673142919566609,-0.25219570117487755
"Cutters and Trimmers, Hand",2.06,2.37,2.685,2.88,2.4165,1,-3.5394985810571735,0.06494085940698291
"Cutting and Slicing Machine Setters, Operators, and Tenders",2.31,2.94,3.065,3.0,2.785,1,-2.3610137360312233,-0.3956565222748663
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2.435,3.0,3.0,3.0,2.8305,1,-2.2647653473640763,-0.3820753678539906
Cytogenetic Technologists,3.315,3.94,4.0,4.1899999999999995,3.8019999999999996,0,1.2359869683729148,-0.02704633017251461
Cytotechnologists,3.25,3.815,3.815,3.5,3.5982499999999997,0,0.3057703747046667,-0.8210980433175306
Dancers,2.815,2.81,2.685,3.19,2.8434999999999997,1,-2.26518844348293,0.23349050792305773
Data Entry Keyers,2.435,2.88,2.815,3.0,2.7515,1,-2.5440522365518485,-0.16328267923629997
Data Warehousing Specialists,3.125,3.88,3.875,3.75,3.6329999999999996,0,0.5387404447316038,-0.5257838319730122
Database Administrators,3.81,3.94,4.0600000000000005,3.875,3.9152500000000003,0,1.4058177255594957,-0.5835014702241784
Database Architects,3.435,3.88,4.13,3.875,3.7957499999999995,0,1.1182171130570662,-0.5811974499703787
Demonstrators and Product Promoters,2.94,3.0,3.06,3.88,3.126,3,-1.0561261607039132,0.828361351318763
Dental Assistants,3.12,3.06,3.315,3.94,3.261,3,-0.5779142272030681,0.655986648410525
Dental Hygienists,3.0,3.31,3.0,3.815,3.2307499999999996,3,-0.8263487168502174,0.6165190582305251
Dental Laboratory Technicians,3.0,3.315,3.13,3.0,3.1362499999999995,3,-1.4081211074946713,-0.7014740338850974
"Dentists, General",4.1899999999999995,4.25,4.5,4.3100000000000005,4.2909999999999995,2,2.7662552282436907,-0.5037835387022764
Dermatologists,3.815,4.1850000000000005,4.5600000000000005,4.5649999999999995,4.206,2,2.6849603290070236,-0.11322037206807384
"Derrick Operators, Oil and Gas",2.685,3.31,3.13,3.565,3.1247499999999997,3,-1.1721498788462652,0.16224078365166167
Desktop Publishers,3.0,3.815,3.56,3.5,3.47225,0,-0.11886251777280162,-0.5856049823368222
Detectives and Criminal Investigators,3.44,4.12,4.1850000000000005,4.0,3.9110000000000005,0,1.5059217189684002,-0.568216134788847
Diagnostic Medical Sonographers,3.25,3.5,3.38,3.94,3.4669999999999996,0,-0.0023294528717802214,0.36133979327625776
Dietetic Technicians,3.12,3.12,3.5,3.815,3.3002499999999997,3,-0.46311926069142817,0.2835551155545877
Dietitians and Nutritionists,3.87,4.0600000000000005,4.0600000000000005,4.4399999999999995,4.0600000000000005,2,2.053566041179735,0.18491196007866545
Dining Room and Cafeteria Attendants and Bartender Helpers,2.12,2.5,2.37,2.75,2.3975,1,-3.76454185311575,0.0661322315447717
"Directors, Religious Activities and Education",3.88,3.94,3.75,4.0600000000000005,3.902,0,1.3421171311571627,-0.05363157054975169
Dishwashers,1.815,2.25,2.0,2.375,2.08825,1,-4.8950077143982,-0.021255415953315468
